country,energy_poverty_warmth_pct,utility_bill_arrears_pct,housing_cost_overburden_pct,poverty_social_exclusion_pct,electricity_price_eur_kwh,gas_price_eur_kwh,energy_poverty_warmth_pct_norm,utility_bill_arrears_pct_norm,housing_cost_overburden_pct_norm,poverty_social_exclusion_pct_norm,electricity_price_eur_kwh_norm,gas_price_eur_kwh_norm,transition_cost_pressure_index,transition_cost_pressure_rank,transition_capacity_score,stress_absorption_gap,acceptance_trap_quadrant
Greece,23.98,39.5,26.4,27.5,0.4147,0.1214,0.7370923913043479,1.0,1.0,0.8743169398907104,0.4969383589604028,0.1276048714479025,0.7059920936005607,1,0.5488405013993862,-0.3183243021950676,Acceptance Trap
Türkiye,31.72,24.4,10.0,29.8,0.0495,,1.0,0.587882096069869,0.3166666666666666,1.0,0.0,,0.580909752547307,2,0.2124187554380021,0.0956570223625536,Acceptance Trap
Serbia,17.119999999999997,20.1,7.9,23.2,0.2439,,0.5040760869565216,0.470524017467249,0.2291666666666666,0.6393442622950819,0.2645257858212002,,0.4215273638413438,4,0.3798787274337237,-0.215582599439034,Acceptance Trap
Sweden,5.9,5.64,10.8,18.6,0.3642,0.7661,0.1229619565217391,0.0758733624454148,0.35,0.3879781420765028,0.4282215267383318,1.0,0.3941724979636647,5,0.9165263330679988,-0.725097124687831,Managed Pressure
Bulgaria,21.4,17.6,6.9,29.0,0.1136,0.0542,0.6494565217391304,0.402292576419214,0.1875,0.9562841530054644,0.0872227513947476,0.0366711772665764,0.3865711966375222,6,0.6431884453078531,-0.5768858546771716,Acceptance Trap
Spain,19.14,8.9,7.2,25.7,0.3858,0.1085,0.5726902173913043,0.1648471615720524,0.2,0.7759562841530054,0.4576132807184651,0.110148849797023,0.3802092989386418,7,0.8195805843947386,-0.6685398957751525,Managed Pressure
Romania,15.360000000000005,20.76,5.0,27.4,0.2279,0.0472,0.4442934782608697,0.48853711790393,0.1083333333333333,0.8688524590163933,0.2427541162062865,0.0271989174560216,0.3633282370294724,8,0.5538091975989002,-0.400281618312913,Acceptance Trap
Cyprus,15.14,9.1,2.4,17.1,0.6322,,0.4368206521739131,0.1703056768558952,0.0,0.3060109289617487,0.7928969927881344,,0.3412068501559383,9,0.4586225686629641,-0.2588873509920042,Acceptance Trap
Lithuania,21.76,4.8,5.7,26.3,0.2013,0.0829,0.6616847826086956,0.0529475982532751,0.1375,0.8087431693989071,0.2065587154714927,0.0755074424898511,0.3238236180370369,10,0.6269974975462079,-0.5127005473792609,Acceptance Trap
Netherlands,13.26,3.4200000000000004,6.5,15.8,0.7844,0.1329,0.3729619565217392,0.0152838427947598,0.1708333333333333,0.2349726775956284,1.0,0.1431664411366711,0.3228697085636886,11,0.6902611223679371,-0.5136844784507162,Managed Pressure
France,16.32,9.02,6.4,20.8,0.3519,0.1514,0.4769021739130434,0.168122270742358,0.1666666666666666,0.5081967213114754,0.4114845557218669,0.1682002706359946,0.3165954431652342,12,0.7345869402674798,-0.5629661677068978,Managed Pressure
Italy,11.8,6.540000000000001,5.0,22.6,0.4082,0.1936,0.3233695652173913,0.1004366812227074,0.1083333333333333,0.6065573770491803,0.4880936181793441,0.2253044654939106,0.3086825067493112,13,0.6106295416616181,-0.4455673093444184,Acceptance Trap
Latvia,7.88,6.18,5.7,24.7,0.3623,0.2112,0.1902173913043478,0.0906113537117903,0.1375,0.721311475409836,0.4256361409715608,0.2491204330175913,0.3023994657358543,14,0.8311352691764333,-0.7081117714906253,Managed Pressure
Denmark,7.239999999999999,3.7599999999999993,23.4,17.9,0.2323,0.1133,0.1684782608695652,0.0245633187772925,0.875,0.349726775956284,0.2487413253503878,0.1166441136671177,0.2971922991034412,15,0.747645974786722,-0.5392859670179404,Managed Pressure
Germany,7.32,5.42,11.2,21.2,0.4345,0.1159,0.171195652173913,0.0698689956331877,0.3666666666666666,0.5300546448087431,0.5238808001088584,0.1201623815967523,0.2969715234980202,16,0.6649808946964191,-0.5312856896726067,Managed Pressure
Portugal,21.56,4.459999999999999,6.3,18.6,0.3007,0.1166,0.654891304347826,0.0436681222707423,0.1625,0.3879781420765028,0.3418152129541434,0.1211096075778078,0.2853270648711704,17,0.7481457164677522,-0.5778724144765706,Managed Pressure
Ireland,8.959999999999999,13.44,5.3,18.8,0.3436,0.1395,0.2269021739130434,0.2887554585152839,0.1208333333333333,0.3989071038251366,0.4001905021091305,0.1520974289580514,0.2646143334423299,18,0.8968703540896538,-0.7040439847426867,Managed Pressure
Norway,2.28,4.18,13.5,16.1,0.4315,,0.0,0.0360262008733624,0.4624999999999999,0.2513661202185793,0.519798612056062,,0.2539381866296007,19,0.94452289216116,-0.7750007333112096,Managed Pressure
Malta,9.86,4.74,6.0,19.4,0.2972,,0.2574728260869565,0.0513100436681222,0.15,0.4316939890710382,0.3370526602258811,,0.2455059038103996,20,0.5947600457032441,-0.4503016620355754,Institutional Fragility
Estonia,5.46,7.24,8.8,21.8,0.2536,0.0547,0.108016304347826,0.1195414847161572,0.2666666666666666,0.5628415300546449,0.2777248605252415,0.0373477672530446,0.2286897689272635,21,0.6977196554176799,-0.5977284947158947,Stable Transition System
Luxembourg,4.4,5.4399999999999995,8.1,18.2,0.4579,0.0737,0.0720108695652174,0.070414847161572,0.2374999999999999,0.3661202185792349,0.5557218669206695,0.0630581867388362,0.2274709981609216,22,0.8818597050564301,-0.7212143236736953,Stable Transition System
Austria,5.68,7.76,6.1,18.6,0.3779,0.1197,0.1154891304347826,0.1337336244541485,0.1541666666666666,0.3879781420765028,0.4468635188461015,0.1253044654939107,0.2272559246620187,23,0.8285851493091873,-0.6925226212485598,Stable Transition System
Belgium,6.5,4.279999999999999,6.7,16.5,0.4058,0.1017,0.1433423913043478,0.0387554585152838,0.1791666666666667,0.2732240437158469,0.4848278677371071,0.1009472259810554,0.2033772756533846,24,0.8957082314013375,-0.7325702583115177,Stable Transition System
Croatia,9.14,9.0,3.2,20.7,0.214,0.0626,0.2330163043478261,0.1675764192139738,0.0333333333333333,0.5027322404371584,0.2238399782283303,0.0480378890392422,0.2014226940999773,25,0.6502758077454409,-0.530253043275193,Stable Transition System
Finland,4.2,9.82,4.7,17.2,0.277,,0.0652173913043478,0.1899563318777292,0.0958333333333333,0.3114754098360655,0.3095659273370527,,0.1944096787377057,26,0.8807658276732516,-0.6822007799859449,Stable Transition System
Czechia,6.4799999999999995,2.86,8.2,11.5,0.4686,0.1619,0.1426630434782608,0.0,0.2416666666666666,0.0,0.570281670975643,0.1824086603518267,0.1895033402453995,27,0.8079013642761127,-0.7236295190696855,Stable Transition System
Slovakia,8.940000000000001,4.12,3.5,16.7,0.2126,0.1342,0.2262228260869565,0.0343886462882096,0.0458333333333333,0.2841530054644808,0.2219349571370255,0.1449255751014885,0.1595763905685824,28,0.4987010542865204,-0.3451994193507687,Institutional Fragility
Hungary,8.28,6.720000000000001,5.3,19.5,0.0751,0.0271,0.2038043478260869,0.1053493449781659,0.1208333333333333,0.4371584699453552,0.0348346713838617,0.0,0.1503300279111338,29,0.27881522624941,-0.1618481224315794,Institutional Fragility
Slovenia,6.540000000000001,8.08,3.5,15.5,0.2472,0.0686,0.1447010869565217,0.1424672489082969,0.0458333333333333,0.2185792349726776,0.269016192679276,0.0561569688768606,0.146125677621161,30,0.7631397970300021,-0.6246441202184845,Stable Transition System
North Macedonia,,,,,0.1824,0.0956,,,,,0.180840930738876,0.0926928281461434,0.1367668794425097,31,0.4751659100761422,-0.3480780479923662,Institutional Fragility
Moldova,,,,,0.1904,0.0834,,,,,0.1917267655463328,0.0761840324763193,0.1339553990113261,32,0.6253435255818818,-0.4305545233630005,Institutional Fragility
Poland,6.16,4.4399999999999995,4.1,15.0,0.2108,,0.1317934782608695,0.043122270742358,0.0708333333333333,0.1912568306010929,0.2194856443053476,,0.1312983114486003,33,0.6120600756746354,-0.5003264430345521,Institutional Fragility
Bosnia and Herzegovina,,,,,0.2112,0.0429,,,,,0.2200299360457205,0.0213802435723951,0.1207050898090578,34,0.4903330640229563,-0.3137989698503327,Institutional Fragility
Montenegro,,,,,0.1219,,,,,,0.098516805007484,,0.098516805007484,35,0.5454087530682228,-0.3890175268727345,Institutional Fragility
Albania,,,,,0.0979,,,,,,0.0658593005851136,,0.0658593005851136,36,0.3573778634680622,-0.1973657632838759,Institutional Fragility
