country,energy_poverty_warmth_pct,utility_bill_arrears_pct,housing_cost_overburden_pct,poverty_social_exclusion_pct,electricity_price_eur_kwh,gas_price_eur_kwh,energy_poverty_warmth_pct_norm,utility_bill_arrears_pct_norm,housing_cost_overburden_pct_norm,poverty_social_exclusion_pct_norm,electricity_price_eur_kwh_norm,gas_price_eur_kwh_norm,transition_cost_pressure_index,transition_cost_pressure_rank
Greece,23.98,39.5,26.4,27.5,0.4147,0.1214,0.7370923913043479,1.0,1.0,0.8743169398907104,0.49693835896040284,0.12760487144790256,0.7059920936005607,1
Türkiye,31.72,24.4,10.0,29.8,0.0495,,1.0,0.587882096069869,0.31666666666666665,1.0,0.0,,0.580909752547307,2
Liechtenstein,,,,,0.4849,0.2582,,,,,0.5924615593958362,0.3127198917456021,0.45259072557071917,3
Serbia,17.119999999999997,20.1,7.9,23.2,0.2439,,0.5040760869565216,0.470524017467249,0.22916666666666666,0.6393442622950819,0.2645257858212002,,0.4215273638413438,4
Sweden,5.9,5.64,10.8,18.6,0.3642,0.7661,0.12296195652173915,0.07587336244541484,0.35000000000000003,0.3879781420765028,0.4282215267383318,1.0,0.3941724979636647,5
Bulgaria,21.4,17.6,6.9,29.0,0.1136,0.0542,0.6494565217391304,0.402292576419214,0.1875,0.9562841530054644,0.0872227513947476,0.036671177266576455,0.3865711966375222,6
Spain,19.14,8.9,7.2,25.7,0.3858,0.1085,0.5726902173913043,0.16484716157205243,0.20000000000000004,0.7759562841530054,0.4576132807184651,0.11014884979702301,0.3802092989386418,7
Romania,15.360000000000003,20.759999999999998,5.0,27.4,0.2279,0.0472,0.4442934782608697,0.48853711790393006,0.10833333333333334,0.8688524590163933,0.24275411620628656,0.02719891745602165,0.3633282370294724,8
Cyprus,15.14,9.1,2.4,17.1,0.6322,,0.4368206521739131,0.1703056768558952,0.0,0.3060109289617487,0.7928969927881344,,0.3412068501559383,9
Lithuania,21.759999999999998,4.8,5.7,26.3,0.2013,0.0829,0.6616847826086956,0.05294759825327511,0.1375,0.8087431693989071,0.2065587154714927,0.07550744248985115,0.32382361803703696,10
Netherlands,13.26,3.4200000000000004,6.5,15.8,0.7844,0.1329,0.3729619565217392,0.015283842794759838,0.1708333333333333,0.23497267759562845,1.0,0.14316644113667118,0.32286970856368863,11
France,16.32,9.02,6.4,20.8,0.3519,0.1514,0.47690217391304346,0.16812227074235808,0.16666666666666666,0.5081967213114754,0.41148455572186693,0.1682002706359946,0.3165954431652342,12
Italy,11.8,6.540000000000001,5.0,22.6,0.4082,0.1936,0.3233695652173913,0.10043668122270745,0.10833333333333334,0.6065573770491803,0.48809361817934416,0.22530446549391067,0.3086825067493112,13
Latvia,7.88,6.18,5.7,24.7,0.3623,0.2112,0.19021739130434784,0.09061135371179038,0.1375,0.721311475409836,0.4256361409715608,0.24912043301759132,0.30239946573585436,14
Denmark,7.239999999999999,3.7599999999999993,23.4,17.9,0.2323,0.1133,0.1684782608695652,0.02456331877729256,0.875,0.34972677595628404,0.24874132535038784,0.11664411366711773,0.2971922991034412,15
Germany,7.32,5.42,11.2,21.2,0.4345,0.1159,0.17119565217391305,0.06986899563318777,0.36666666666666664,0.5300546448087431,0.5238808001088584,0.12016238159675237,0.2969715234980202,16
Portugal,21.56,4.459999999999999,6.3,18.6,0.3007,0.1166,0.654891304347826,0.043668122270742335,0.1625,0.3879781420765028,0.34181521295414347,0.12110960757780785,0.2853270648711704,17
Ireland,8.959999999999999,13.440000000000001,5.3,18.8,0.3436,0.1395,0.22690217391304346,0.2887554585152839,0.12083333333333333,0.3989071038251366,0.40019050210913054,0.15209742895805145,0.2646143334423299,18
Norway,2.2800000000000002,4.18,13.5,16.1,0.4315,,0.0,0.03602620087336244,0.46249999999999997,0.2513661202185793,0.519798612056062,,0.25393818662960077,19
Malta,9.86,4.74,6.0,19.4,0.2972,,0.25747282608695654,0.05131004366812228,0.15,0.4316939890710382,0.3370526602258811,,0.24550590381039963,20
Estonia,5.46,7.24,8.8,21.8,0.2536,0.0547,0.10801630434782608,0.11954148471615722,0.26666666666666666,0.5628415300546449,0.27772486052524153,0.03734776725304465,0.22868976892726353,21
Luxembourg,4.4,5.4399999999999995,8.1,18.2,0.4579,0.0737,0.0720108695652174,0.07041484716157204,0.23749999999999996,0.36612021857923494,0.5557218669206695,0.06305818673883627,0.22747099816092167,22
Austria,5.68,7.76,6.1,18.6,0.3779,0.1197,0.1154891304347826,0.1337336244541485,0.15416666666666665,0.3879781420765028,0.44686351884610154,0.1253044654939107,0.22725592466201874,23
Belgium,6.5,4.279999999999999,6.7,16.5,0.4058,0.1017,0.14334239130434784,0.03875545851528383,0.1791666666666667,0.27322404371584696,0.4848278677371071,0.10094722598105547,0.20337727565338468,24
Croatia,9.14,9.0,3.2,20.7,0.214,0.0626,0.2330163043478261,0.16757641921397382,0.03333333333333335,0.5027322404371584,0.22383997822833035,0.04803788903924223,0.20142269409997737,25
Finland,4.2,9.82,4.7,17.2,0.277,,0.06521739130434782,0.18995633187772928,0.09583333333333334,0.31147540983606553,0.3095659273370527,,0.1944096787377057,26
Czechia,6.4799999999999995,2.86,8.2,11.5,0.4686,0.1619,0.14266304347826086,0.0,0.2416666666666666,0.0,0.570281670975643,0.18240866035182676,0.18950334024539953,27
Slovakia,8.940000000000001,4.12,3.5,16.7,0.2126,0.1342,0.22622282608695657,0.03438864628820961,0.04583333333333334,0.2841530054644808,0.2219349571370255,0.1449255751014885,0.1595763905685824,28
Hungary,8.28,6.720000000000001,5.3,19.5,0.0751,0.0271,0.20380434782608695,0.10534934497816596,0.12083333333333333,0.4371584699453552,0.034834671383861746,0.0,0.15033002791113387,29
Slovenia,6.540000000000001,8.08,3.5,15.5,0.2472,0.0686,0.14470108695652178,0.14246724890829696,0.04583333333333334,0.2185792349726776,0.26901619267927607,0.05615696887686061,0.14612567762116105,30
North Macedonia,,,,,0.1824,0.0956,,,,,0.18084093073887605,0.09269282814614345,0.13676687944250976,31
Moldova,,,,,0.1904,0.0834,,,,,0.19172676554633286,0.07618403247631936,0.1339553990113261,32
Poland,6.16,4.4399999999999995,4.1,15.0,0.2108,,0.13179347826086957,0.04312227074235807,0.07083333333333332,0.1912568306010929,0.21948564430534767,,0.1312983114486003,33
Bosnia and Herzegovina,,,,,0.2112,0.0429,,,,,0.22002993604572052,0.02138024357239513,0.12070508980905782,34
Montenegro,,,,,0.1219,,,,,,0.098516805007484,,0.098516805007484,35
Albania,,,,,0.0979,,,,,,0.06585930058511362,,0.06585930058511362,36
