country_code_2,country,climate_seriousness_score,qc4_1_score,qc4_2_score,qc4_3_score,qc4_4_score,qc4_6_score,qc10_score,qc11_score,qc8_1_score,qc8_2_score,qc9_1_score,qc9_2_score,government_climate_action_score,qc12t_1_score,qc12t_3_score,qc12t_4_score,qc12t_5_score,climate_concern_index,climate_action_acceptance_index,climate_affordability_concern_index,climate_acceptance_index_raw,country_name_clean,climate_acceptance_index,climate_acceptance_rank
SE,SE - Sweden,0.7893814997263273,0.8184730538922156,0.7784158415841584,0.6798058252427185,0.8055867082035306,0.6105432372505544,0.8211907164480323,,0.9048508946322067,0.914037886340977,0.8858788480635551,0.878622754491018,0.12925252525252526,0.7522123893805309,0.3824975417895772,0.400196656833825,0.28220255653883974,0.7893814997263273,0.7693429747765896,0.34119960668633237,1.2175248678165846,Sweden,1.0,1
MT,MT - Malta,0.847442680776014,0.8985971943887775,0.8148648648648649,0.7666377440347072,0.7832622601279318,0.7959016393442624,0.9065863453815262,,0.94436,0.9498203592814372,0.9424750499001996,0.9464670658682635,0.14175869120654397,0.4642857142857143,0.42063492063492064,0.4781746031746032,0.4742063492063492,0.847442680776014,0.8028244298427171,0.47619047619047616,1.1740766344282547,Malta,0.9102901416145303,2
PT,PT - Portugal,0.8128479180583389,0.8266843783209351,0.7930181818181818,0.7896466431095406,0.7790792540792542,0.7818742724097788,0.7976955161626694,,0.8552390640895219,0.8580061037639878,0.8571486761710795,0.8613034623217922,0.13539978094194963,0.601,0.261,0.458,0.332,0.8128479180583389,0.7551412960205616,0.395,1.1729892140789004,Portugal,0.9080448874824658,3
CY,CY - Cyprus (Republic),0.8212944554892865,0.8711491935483872,0.8320421052631579,0.7235229759299782,0.7740677966101696,0.7151409978308026,0.8941478439425051,,0.927808764940239,0.9371656686626746,0.9324302788844622,0.9418725099601594,0.09121338912133892,0.5178571428571429,0.32341269841269843,0.42658730158730157,0.498015873015873,0.8212944554892865,0.7825514980701981,0.4623015873015873,1.141544366257897,Cyprus,0.8431190521841185,4
DK,DK - Denmark,0.7761077710977511,0.7713113006396588,0.7365095398428732,0.6615280898876404,0.7377620087336244,0.6684907834101382,0.8165778688524591,,0.891050505050505,0.8985192697768764,0.8657809330628803,0.8720447609359105,0.3486919831223629,0.61,0.381,0.449,0.316,0.7761077710977511,0.7425479216827138,0.3825,1.1361556927804648,Denmark,0.8319927739249932,5
FR,FR - France,0.8199732798931196,0.7950780437044745,0.734425087108014,0.6366354044548652,0.6804905239687848,0.5809059233449477,0.8137759336099585,,0.8156801661474559,0.8235908141962421,0.8127783558792925,0.8138090241343128,0.1440595111583422,0.4955134596211366,0.43768693918245266,0.5034895314057827,0.30807577268195413,0.8199732798931196,0.7033641396126614,0.40578265204386843,1.1175547674619124,France,0.7935864626429736,6
HU,HU - Hungary,0.803177691309987,0.7529633300297324,0.7145042194092828,0.6509969167523125,0.683195449844881,0.6368205128205128,0.7774045053868757,,0.8608644400785854,0.8687144259077527,0.8577843137254902,0.8696868884540118,0.17813492063492065,0.5170068027210885,0.5160349854227405,0.39844509232264336,0.4363459669582119,0.803177691309987,0.7254980658794388,0.4173955296404276,1.1112802275489981,Hungary,0.7806310892451519,7
HR,HR - Croatia,0.8006793776024546,0.7813320079522863,0.755046439628483,0.7112280701754387,0.7106995884773664,0.6567890870933893,0.8004581673306772,,0.8480757726819541,0.849940119760479,0.8510667996011965,0.84858,0.09552208835341365,0.5562130177514792,0.3905325443786982,0.504930966469428,0.40828402366863903,0.8006793776024546,0.729996801235954,0.45660749506903353,1.0740686837693751,Croatia,0.7037984527386623,8
ES,ES -Spain,0.8033935413245759,0.8287708333333333,0.7295838287752676,0.7381040462427746,0.7436618141097425,0.7163606194690266,0.8243279022403259,,0.8506625891946993,0.8571020408163266,0.8420470829068578,0.8497230769230769,0.1092842105263158,0.44236453201970444,0.3251231527093596,0.5310344827586206,0.3901477832512315,0.8033935413245759,0.7289859598950413,0.46059113300492605,1.071788368214691,Spain,0.6990901649779946,9
IT,IT - Italy,0.7890309188244291,0.7661027190332327,0.7361839323467231,0.7313333333333334,0.7458084449021628,0.5391692627206646,0.7384247258225324,,0.7992622133599202,0.8078642714570858,0.7937737737737738,0.78796,0.16587044534412956,0.55078125,0.3515625,0.5517578125,0.291015625,0.7890309188244291,0.6956855355624523,0.42138671875,1.0633297356368814,Italy,0.6816251802936268,10
DE-W,DE-W - Germany - West,0.7460632088976984,0.727861570247934,0.7171508379888268,0.6612263099219621,0.6744593088071349,0.6211481056257175,0.7675279755849441,,0.841875,0.8434914228052472,0.8188922457200403,0.8236858006042296,0.35601220752797563,0.5847373637264618,0.34291377601585726,0.4578790882061447,0.31813676907829536,0.7460632088976984,0.7020808097540296,0.38800792864222,1.060136090009508,W - Germany - West,0.6750310917744378,11
LU,LU - Luxembourg,0.8183212798597413,0.7559797979797981,0.736824034334764,0.6508676789587853,0.6875523012552301,0.6386257928118393,0.7800996015936256,,0.7987096774193548,0.8036546184738956,0.7992785571142286,0.7980360721442886,0.310879345603272,0.5009861932938856,0.3431952662721893,0.4832347140039448,0.4319526627218935,0.8183212798597413,0.6911507993043237,0.45759368836291914,1.051878390801146,Luxembourg,0.6579809848126449,12
NL,NL - The Netherlands,0.75725824055883,0.75482,0.7259978189749182,0.6195223260643822,0.7027083333333334,0.6914018691588786,0.8033926805143422,,0.8801780415430267,0.8730168150346191,0.8751040634291378,0.8522343594836147,0.2548804780876494,0.5627450980392157,0.40098039215686276,0.5411764705882353,0.3627450980392157,0.75725824055883,0.728508483144361,0.45196078431372544,1.0338059393894656,The Netherlands,0.620665841471153,13
SI,SI - Slovenia,0.7619683812068582,0.754263959390863,0.7331634819532908,0.6088054968287527,0.6498523206751056,0.6009893617021277,0.7543576567317575,,0.8628830645161291,0.860141129032258,0.8341152679474217,0.8359797979797979,0.14873065015479878,0.551,0.368,0.435,0.439,0.7619683812068582,0.701129294729792,0.437,1.02609767593665,Slovenia,0.6047501834841077,14
GR,GR - Greece,0.8365363375303733,0.8429376257545271,0.7665644820295983,0.7262966915688367,0.7658064516129033,0.578764769065521,0.8526686807653575,,0.8961904761904762,0.910892494929006,0.9019438877755511,0.9121442885771543,0.1473684210526316,0.49204771371769385,0.27236580516898606,0.6063618290258449,0.5238568588469185,0.8365363375303733,0.7432186139296344,0.5651093439363817,1.0146456075236259,Greece,0.5811044939949453,15
BE,BE - Belgium,0.7611700417872067,0.7471513353115727,0.6825860271115746,0.6553813559322035,0.661748178980229,0.6360205128205129,0.7908228460793805,,0.8358365758754864,0.8562804284323271,0.8301460564751705,0.8368451801363195,0.21520157325467063,0.5096339113680154,0.37090558766859344,0.5664739884393064,0.3699421965317919,0.7611700417872067,0.7011131663492821,0.4682080924855492,0.9940751156509395,Belgium,0.538631514798654,16
IE,IE - Ireland,0.755,0.7947150259067357,0.7477828054298642,0.7406040992448759,0.760981256890849,0.7730672268907564,0.8209773662551441,,0.8844399596367306,0.8885685279187817,0.8799596367305751,0.8841912512716175,0.2516224814422057,0.4577114427860697,0.3383084577114428,0.56318407960199,0.4577114427860697,0.755,0.7476089213894536,0.5104477611940299,0.9921611601954237,Ireland,0.5346796700519227,17
LT,LT - Lithuania,0.7199421643866087,0.7638560687432867,0.7389521640091117,0.7042857142857143,0.7089034564958283,0.6407328605200946,0.7501182795698925,,0.8221073961499493,0.8300304568527919,0.8270636550308009,0.8296594427244582,0.23540425531914894,0.5312190287413281,0.38949454905847375,0.45986124876114964,0.43310208126858274,0.7199421643866087,0.7113685893484775,0.4464816650148662,0.98482908872022,Lithuania,0.5195407554766449,18
FI,FI - Finland,0.7157648630594523,0.6339107332624867,0.6728727272727273,0.6250513112884835,0.7353697383390216,0.570188679245283,0.6438959660297241,,0.8305316973415133,0.8428008298755187,0.8118426501035196,0.8132288401253919,0.45011640211640214,0.5844155844155844,0.3026973026973027,0.5694305694305695,0.33166833166833165,0.7157648630594523,0.6722338383330464,0.45054945054945056,0.9374492508430483,Finland,0.42171310600012457,19
BG,BG - Bulgaria,0.72428810720268,0.7608690987124463,0.7014932680538556,0.6534149326805386,0.6904846335697399,0.6590683962264151,0.7847257383966245,,0.8036559139784946,0.8204550379198267,0.832526096033403,0.8417473684210526,0.10639548022598871,0.3303834808259587,0.400196656833825,0.49852507374631266,0.4936086529006883,0.72428810720268,0.6899183851376818,0.4960668633235005,0.9181396290168614,Bulgaria,0.3818435116711298,20
PL,PL - Poland,0.7000216590859866,0.695793731041456,0.6860993657505287,0.6692834890965732,0.6847265221878225,0.6637513171759747,0.6930535894843277,,0.7673895582329318,0.7955376884422111,0.7723417085427136,0.7821327967806841,0.2691607684529828,0.43567251461988304,0.33528265107212474,0.4834307992202729,0.4142300194931774,0.7000216590859866,0.6650887443689358,0.44883040935672514,0.9162799940981973,Poland,0.3780038254010122,21
SK,SK - Slovakia,0.6930206588498046,0.7058576051779936,0.6887470449172578,0.6283391812865498,0.6578185993111366,0.6099314285714287,0.7309797657082002,,0.8012236286919832,0.8176210526315789,0.8031282586027112,0.8165099268547544,0.18014675052410903,0.4111776447105788,0.406187624750499,0.5369261477045908,0.38622754491017963,0.6930206588498046,0.673126813434556,0.4615768463073852,0.9045706259769755,Slovakia,0.35382687563761195,22
RO,RO - Romania,0.6562066389155726,0.6187881773399015,0.5722832980972515,0.5771696149843912,0.5894117647058823,0.565285132382892,0.6825574712643678,,0.8286481303930968,0.841446725317693,0.8229827915869982,0.8384810126582278,0.19514970059880238,0.4084507042253521,0.4187793427230047,0.4676056338028169,0.40938967136150234,0.6562066389155726,0.6470236804732549,0.4384976525821596,0.8647326668066679,Romania,0.27157134079015044,23
AT,AT - Austria,0.6683450822423632,0.7185639412997904,0.6794962486602358,0.667492130115425,0.6770676691729324,0.6503716216216215,0.7568061224489796,,0.8116853932584269,0.8163803680981595,0.8097043832823649,0.8229333333333333,0.3720925341745531,0.5379241516966068,0.22355289421157684,0.6237524950099801,0.36327345309381237,0.6683450822423632,0.6809981880999545,0.4935129740518962,0.8558302962904214,Austria,0.2531901469871829,24
DE-E,DE-E Germany East,0.681421864520456,0.6789873417721519,0.6655579868708972,0.5592256637168141,0.5666740088105726,0.47662162162162164,0.753625,,0.7836174636174636,0.7913152400835074,0.7747499999999999,0.7820459290187892,0.39987577639751554,0.4879518072289157,0.22690763052208834,0.5622489959839357,0.41566265060240964,0.681421864520456,0.6289399744385684,0.48895582329317266,0.8214060156658517,E Germany East,0.18211251968182743,25
LV,LV - Latvia,0.6317177711836465,0.6738344226579521,0.6178102189781022,0.5828571428571429,0.6047414880201766,0.5882082324455206,0.7091880341880342,,0.7841558441558443,0.7965658747300216,0.7814345991561182,0.778895966029724,0.20582710779082178,0.3639921722113503,0.3111545988258317,0.5058708414872799,0.48043052837573386,0.6317177711836465,0.6327365495213183,0.4931506849315069,0.771303635773458,Latvia,0.07866349415415419,26
CZ,CZ - Czech Republic,0.6095617529880478,0.6756296296296297,0.5956221719457013,0.5364705882352941,0.546391061452514,0.51,0.6853333333333333,,0.7470829068577277,0.7509314227226203,0.7619836400817996,0.7581352459016394,0.29327731092436976,0.4401582591493571,0.3620178041543027,0.5806132542037586,0.34421364985163205,0.6095617529880478,0.6141463386219933,0.46241345202769535,0.7612946395823458,Czechia,0.05799739197089365,27
EE,EE - Estonia,0.5666214995483289,0.6030135440180586,0.5816393442622951,0.5293680297397769,0.556520650813517,0.43546012269938655,0.657431394072448,,0.7287326943556975,0.7338216560509554,0.7456144067796611,0.7468076109936576,0.4342662116040956,0.373134328358209,0.382089552238806,0.48059701492537316,0.36517412935323385,0.5666214995483289,0.5894694445318726,0.4228855721393035,0.733205371940898,Estonia,0.0,28
