country_name,Agricultural_Area_K_Hectares,Forest_Area_K_Hectares
Afghanistan,38263.75,1209.44
Albania,1120.52,941.0
Algeria,41309.02,1693.04
American Samoa,2.91,15.85
Andorra,18.76,18.19
Angola,45976.5,64537.4
Anguilla,,5.5
Antigua and Barbuda,9.0,7.95
Argentina,117660.34,47046.8
Armenia,1663.98,334.06
Aruba,2.0,0.49
"Ascension, Saint Helena and Tristan da Cunha",12.0,2.02
Australia,361514.17,133426.36
Austria,2599.97,3896.86
Azerbaijan,4780.2,1187.42
Bahamas,13.0,509.86
Bahrain,8.1,3.17
Bangladesh,9418.5,1875.89
Barbados,10.0,6.3
Belarus,8145.75,8909.22
Belgium,1360.64,670.52
Belize,181.5,1333.88
Benin,4657.23,3226.72
Bermuda,0.3,0.78
Bhutan,521.75,2695.95
Bolivia (Plurinational State of),38703.27,54969.67
"Bonaire, Sint Eustatius and Saba",,4.21
Bosnia and Herzegovina,1683.75,2159.48
Botswana,25862.0,15730.2
Brazil,236776.8,494226.76
British Virgin Islands,7.0,9.97
Brunei Darussalam,13.4,380.0
Bulgaria,5029.75,3927.5
Burkina Faso,14472.22,3536.62
Burundi,2114.93,279.64
Cabo Verde,79.0,49.51
Cambodia,6119.85,7105.0
Cameroon,9865.42,19435.61
Canada,57015.1,368843.39
Cayman Islands,2.7,12.72
Central African Republic,5624.83,45211.18
Chad,50337.82,3931.1
Channel Islands,8.57,
Chile,10805.74,18174.11
China,521271.52,223125.5
"China, Hong Kong SAR",4.0,
"China, Taiwan Province of",784.02,
"China, mainland",520483.5,223125.5
Colombia,42367.57,59790.07
Comoros,133.0,33.12
Congo,10654.5,21818.8
Cook Islands,1.9,15.59
Costa Rica,1699.94,2980.84
Croatia,1478.75,1942.9
Cuba,6401.0,3616.9
Curaçao,,0.07
Cyprus,125.32,172.12
Czechia,3529.63,2945.76
Côte d'Ivoire,26843.28,3976.18
Democratic People's Republic of Korea,2595.75,7699.54
Democratic Republic of the Congo,34387.11,139896.28
Denmark,2620.75,637.64
Djibouti,1703.82,5.9
Dominica,25.0,57.46
Dominican Republic,2588.02,2240.91
Ecuador,5397.0,12385.7
Egypt,4029.5,4.1
El Salvador,1195.7,682.75
Equatorial Guinea,104.87,2427.52
Eritrea,7592.0,1456.97
Estonia,986.5,2445.31
Eswatini,1195.0,436.82
Ethiopia,38540.08,26756.9
Falkland Islands (Malvinas),1134.52,
Faroe Islands,96.05,0.08
Fiji,311.6,1125.02
Finland,2266.5,22543.0
France,28382.41,17571.5
French Guiana,38.26,7992.4
French Polynesia,30.8,149.46
Gabon,2153.24,23572.14
Gambia,634.0,225.8
Georgia,2378.4,3100.5
Germany,16591.75,11469.4
Ghana,12603.74,6967.06
Greece,5520.17,4762.8
Greenland,243.11,0.22
Grenada,8.0,17.7
Guadeloupe,46.64,74.92
Guam,16.0,28.27
Guatemala,4612.0,3568.62
Guinea,17497.02,5024.8
Guinea-Bissau,834.46,2110.18
Guyana,719.75,18396.26
Haiti,1793.75,368.6
Honduras,3566.5,5986.88
Hungary,5029.85,2072.18
Iceland,1813.5,59.07
India,178549.5,72524.0
Indonesia,54800.79,95765.6
Iran (Islamic Republic of),47057.25,10751.0
Iraq,9467.15,709.06
Ireland,4346.5,813.08
Isle of Man,39.87,3.67
Israel,538.02,145.0
Italy,12752.43,9390.73
Jamaica,417.0,606.59
Japan,4645.75,24913.5
Jordan,1029.75,70.7
Kazakhstan,214236.58,3485.76
Kenya,28724.33,3752.64
Kiribati,34.0,1.07
Kuwait,150.0,6.3
Kyrgyzstan,10422.55,1255.32
Lao People's Democratic Republic,2241.32,13124.38
Latvia,1970.0,3450.54
Lebanon,676.61,141.08
Lesotho,2303.74,34.52
Liberia,1923.04,6427.97
Libya,15350.0,206.16
Liechtenstein,5.17,5.76
Lithuania,2916.23,2209.26
Luxembourg,132.61,88.7
Madagascar,40895.0,10232.78
Malawi,6033.5,2136.7
Malaysia,8571.0,19034.74
Maldives,6.02,3.72
Mali,43200.11,10730.62
Malta,8.73,0.46
Marshall Islands,7.0,9.71
Martinique,30.73,52.48
Mauritania,39710.0,1012.56
Mauritius,85.99,38.29
Mayotte,19.87,9.68
Mexico,99425.69,66585.0
Micronesia (Federated States of),5.0,64.5
Mongolia,111092.1,14178.33
Montenegro,257.76,827.0
Montserrat,3.0,2.42
Morocco,29746.97,5694.56
Mozambique,41504.23,32910.47
Myanmar,12984.33,27819.6
Namibia,38811.75,8044.57
Nauru,0.4,
Nepal,3765.12,6224.8
Netherlands (Kingdom of the),1808.36,368.2
New Caledonia,184.03,892.61
New Zealand,9946.75,10134.16
Nicaragua,5091.0,4858.14
Niger,46598.45,1067.4
Nigeria,69047.35,17447.16
Niue,4.8,18.87
Norfolk Island,1.0,0.49
North Macedonia,1257.5,1034.21
Northern Mariana Islands,0.54,24.36
Norway,984.49,12114.72
Oman,1465.78,1.6
Pakistan,36157.25,3140.5
Palau,4.3,41.64
Palestine,395.37,11.1
Panama,2181.67,4622.14
Papua New Guinea,1405.0,34038.34
Paraguay,21244.45,14706.66
Peru,24587.7,67908.1
Philippines,12676.2,7332.52
Pitcairn,,3.69
Poland,14497.18,9479.6
Portugal,3951.57,3348.51
Puerto Rico,168.9,449.08
Qatar,74.0,1.4
Republic of Korea,1594.0,6288.56
Republic of Moldova,2461.28,371.75
Romania,12880.25,6943.09
Russian Federation,215545.75,830531.06
Rwanda,1955.17,598.23
Réunion,42.21,77.11
Saint Kitts and Nevis,6.0,11.0
Saint Lucia,9.94,32.72
Saint Martin (French part),,1.24
Saint Pierre and Miquelon,2.0,1.16
Saint Vincent and the Grenadines,7.0,28.56
Samoa,49.26,160.96
San Marino,2.3,1.0
Sao Tome and Principe,42.75,55.22
Saudi Arabia,173637.51,2771.8
Senegal,9490.75,8688.17
Serbia,3458.0,3376.0
Seychelles,1.55,27.06
Sierra Leone,3949.0,2485.58
Singapore,0.66,15.8
Sint Maarten (Dutch part),,0.3
Slovakia,1853.25,1935.86
Slovenia,610.84,1243.69
Solomon Islands,107.5,2515.76
Somalia,44128.58,5019.62
South Africa,96341.0,22662.5
South Sudan,28275.83,7156.25
Spain,25951.78,19057.42
Sri Lanka,2860.72,2133.05
Sudan,112665.0,22415.75
Suriname,75.36,14719.83
Sweden,2996.5,27934.0
Switzerland,1497.83,1262.44
Syrian Arab Republic,13724.09,527.73
Tajikistan,3873.6,423.75
Thailand,23161.97,19992.52
Timor-Leste,341.4,1056.45
Togo,3820.0,1216.86
Tokelau,0.6,
Tonga,35.0,8.73
Trinidad and Tobago,54.0,227.11
Tunisia,9700.5,693.24
Turkmenistan,39695.88,2330.0
Turks and Caicos Islands,1.0,10.52
Tuvalu,1.8,1.03
Türkiye,38235.0,22513.06
Uganda,14415.0,2437.92
Ukraine,41311.0,9995.0
United Arab Emirates,391.16,323.74
United Kingdom of Great Britain and Northern Ireland,17224.6,3246.5
United Republic of Tanzania,39521.2,44572.5
United States Virgin Islands,3.3,20.28
United States of America,422395.77,309075.0
Uruguay,14131.62,1978.02
Uzbekistan,25681.02,3791.6
Vanuatu,187.0,913.4
Venezuela (Bolivarian Republic of),21500.0,47211.47
Viet Nam,12331.51,14733.65
Wallis and Futuna Islands,6.0,10.6
Western Sahara,5004.0,531.22
Yemen,23452.0,549.0
Zambia,23839.0,45117.18
Zimbabwe,16171.83,13898.51
